Plot,Block,CO2,N,Species,DBH,Height
1,a,Ambient,Fertilized,P. taeda,25,23.93
1,a,Ambient,Fertilized,P. taeda,24.9,23.78
1,a,Ambient,Fertilized,P. taeda,17.7,19.49
1,a,Ambient,Fertilized,P. taeda,8.5,13.05
1,a,Ambient,Fertilized,P. taeda,33.3,25.32
1,a,Ambient,Fertilized,P. taeda,31,24
1,a,Ambient,Fertilized,P. taeda,30.9,23.58
1,a,Ambient,Fertilized,P. taeda,19.6,21.45
1,a,Ambient,Unfertilized,P. taeda,32,23.95
1,a,Ambient,Unfertilized,P. taeda,26,23.1
1,a,Ambient,Unfertilized,P. taeda,22.9,22.08
1,a,Ambient,Unfertilized,P. taeda,21.3,21.8
1,a,Ambient,Unfertilized,P. taeda,20.1,21.45
1,a,Ambient,Unfertilized,P. taeda,16.9,20.56
1,a,Ambient,Unfertilized,P. taeda,25.9,22.12
1,a,Ambient,Unfertilized,P. taeda,28.9,23.23
1,a,Ambient,Unfertilized,P. taeda,13.4,15.7
1,a,Ambient,Unfertilized,P. taeda,11.5,14.5
1,a,Ambient,Unfertilized,P. taeda,31.6,23.83
1,a,Ambient,Unfertilized,P. taeda,18.4,15.3
1,a,Ambient,Unfertilized,P. taeda,26,24.35
2,a,Elevated,Fertilized,P. taeda,28.7,25.06
2,a,Elevated,Fertilized,P. taeda,34.6,24.31
2,a,Elevated,Fertilized,P. taeda,29.6,25.14
2,a,Elevated,Fertilized,P. taeda,36.5,23.98
2,a,Elevated,Fertilized,P. taeda,32.3,24.49
2,a,Elevated,Fertilized,P. taeda,31.8,25.72
2,a,Elevated,Fertilized,P. taeda,30.5,25.84
2,a,Elevated,Unfertilized,P. taeda,20.6,20.6
2,a,Elevated,Unfertilized,P. taeda,17,21.25
2,a,Elevated,Unfertilized,P. taeda,9.9,14.73
2,a,Elevated,Unfertilized,P. taeda,30.2,26
2,a,Elevated,Unfertilized,P. taeda,27.5,23.1
2,a,Elevated,Unfertilized,P. taeda,29.9,23.7
2,a,Elevated,Unfertilized,P. taeda,32.7,25.15
2,a,Elevated,Unfertilized,P. taeda,30.8,24
2,a,Elevated,Unfertilized,P. taeda,22.9,23.3
2,a,Elevated,Unfertilized,P. taeda,29.6,23.68
2,a,Elevated,Unfertilized,P. taeda,24.4,22.81
3,b,Elevated,Fertilized,P. taeda,30.4,24.39
3,b,Elevated,Fertilized,P. taeda,26.4,23.53
3,b,Elevated,Fertilized,P. taeda,24.2,23.92
3,b,Elevated,Fertilized,P. taeda,32.7,25.25
3,b,Elevated,Fertilized,P. taeda,28.7,25.4
3,b,Elevated,Fertilized,P. taeda,19.8,20.4
3,b,Elevated,Fertilized,P. taeda,19.1,22.35
3,b,Elevated,Fertilized,P. taeda,15.7,21.8
3,b,Elevated,Fertilized,P. taeda,23.9,23.34
3,b,Elevated,Fertilized,P. taeda,32.2,23.29
3,b,Elevated,Fertilized,P. taeda,29.5,24.63
3,b,Elevated,Unfertilized,P. taeda,18,20.05
3,b,Elevated,Unfertilized,P. taeda,31.4,25.77
