Plot,Block,CO2,N,Species,Density_stemwood,Density_stembark
1,a,Ambient,Unfertilized,P. taeda,0.573,0.318
1,a,Ambient,Unfertilized,P. taeda,0.597,0.268
1,a,Ambient,Unfertilized,P. taeda,0.451,0.443
1,a,Ambient,Unfertilized,P. taeda,0.441,0.324
1,a,Ambient,Unfertilized,P. taeda,0.434,0.296
1,a,Ambient,Unfertilized,P. taeda,0.441,0.281
1,a,Ambient,Unfertilized,P. taeda,0.5,0.294
1,a,Ambient,Unfertilized,P. taeda,0.43,0.561
1,a,Ambient,Unfertilized,P. taeda,0.486,NA
1,a,Ambient,Unfertilized,P. taeda,0.374,NA
5,b,Ambient,Unfertilized,P. taeda,0.505,0.225
5,b,Ambient,Unfertilized,P. taeda,0.487,0.357
5,b,Ambient,Unfertilized,P. taeda,0.42,0.305
5,b,Ambient,Unfertilized,P. taeda,0.42,0.281
5,b,Ambient,Unfertilized,P. taeda,0.406,0.299
5,b,Ambient,Unfertilized,P. taeda,0.503,0.319
5,b,Ambient,Unfertilized,P. taeda,0.481,0.266
5,b,Ambient,Unfertilized,P. taeda,0.437,0.284
5,b,Ambient,Unfertilized,P. taeda,0.411,0.349
5,b,Ambient,Unfertilized,P. taeda,0.431,0.241
5,b,Ambient,Unfertilized,P. taeda,0.539,0.386
5,b,Ambient,Unfertilized,P. taeda,0.522,0.339
5,b,Ambient,Unfertilized,P. taeda,0.466,0.282
5,b,Ambient,Unfertilized,P. taeda,0.429,0.278
5,b,Ambient,Unfertilized,P. taeda,0.419,0.427
5,b,Ambient,Unfertilized,P. taeda,0.555,0.352
5,b,Ambient,Unfertilized,P. taeda,0.503,0.273
5,b,Ambient,Unfertilized,P. taeda,0.459,0.452
5,b,Ambient,Unfertilized,P. taeda,0.43,0.502
5,b,Ambient,Unfertilized,P. taeda,0.477,0.387
6,c,Ambient,Unfertilized,P. taeda,0.434,0.333
6,c,Ambient,Unfertilized,P. taeda,0.483,0.226
6,c,Ambient,Unfertilized,P. taeda,0.437,0.607
6,c,Ambient,Unfertilized,P. taeda,0.411,0.556
6,c,Ambient,Unfertilized,P. taeda,0.391,0.513
6,c,Ambient,Unfertilized,P. taeda,0.524,0.339
6,c,Ambient,Unfertilized,P. taeda,0.544,0.474
6,c,Ambient,Unfertilized,P. taeda,0.489,0.339
6,c,Ambient,Unfertilized,P. taeda,0.4,0.397
6,c,Ambient,Unfertilized,P. taeda,0.403,0.342
6,c,Ambient,Unfertilized,P. taeda,0.644,0.359
6,c,Ambient,Unfertilized,P. taeda,0.507,0.275
6,c,Ambient,Unfertilized,P. taeda,0.468,0.371
6,c,Ambient,Unfertilized,P. taeda,0.449,0.418
6,c,Ambient,Unfertilized,P. taeda,0.454,0.493
6,c,Ambient,Unfertilized,P. taeda,0.398,NA
8,d,Ambient,Unfertilized,P. taeda,0.511,0.336
8,d,Ambient,Unfertilized,P. taeda,0.564,0.553
8,d,Ambient,Unfertilized,P. taeda,0.503,0.584
8,d,Ambient,Unfertilized,P. taeda,0.488,0.61
8,d,Ambient,Unfertilized,P. taeda,0.407,0.554
8,d,Ambient,Unfertilized,P. taeda,0.622,0.339
8,d,Ambient,Unfertilized,P. taeda,NA,NA
8,d,Ambient,Unfertilized,P. taeda,0.497,0.381
8,d,Ambient,Unfertilized,P. taeda,0.5,0.409
8,d,Ambient,Unfertilized,P. taeda,0.476,0.613
8,d,Ambient,Unfertilized,P. taeda,0.478,NA
8,d,Ambient,Unfertilized,P. taeda,0.594,0.424
8,d,Ambient,Unfertilized,P. taeda,0.623,0.362
8,d,Ambient,Unfertilized,P. taeda,0.612,0.505
8,d,Ambient,Unfertilized,P. taeda,0.542,0.542
8,d,Ambient,Unfertilized,P. taeda,0.445,0.703
8,d,Ambient,Unfertilized,P. taeda,0.46,0.34
8,d,Ambient,Unfertilized,P. taeda,0.484,0.28
8,d,Ambient,Unfertilized,P. taeda,0.457,0.482
8,d,Ambient,Unfertilized,P. taeda,0.458,0.486
8,d,Ambient,Unfertilized,P. taeda,0.426,0.449
2,a,Elevated,Unfertilized,P. taeda,0.444,0.412
2,a,Elevated,Unfertilized,P. taeda,0.422,0.563
2,a,Elevated,Unfertilized,P. taeda,0.424,0.462
2,a,Elevated,Unfertilized,P. taeda,0.452,0.348
2,a,Elevated,Unfertilized,P. taeda,0.397,0.34
3,b,Elevated,Unfertilized,P. taeda,0.499,0.439
3,b,Elevated,Unfertilized,P. taeda,0.483,0.424
3,b,Elevated,Unfertilized,P. taeda,0.436,NA
3,b,Elevated,Unfertilized,P. taeda,0.421,0.567
3,b,Elevated,Unfertilized,P. taeda,0.533,0.472
3,b,Elevated,Unfertilized,P. taeda,0.47,0.474
3,b,Elevated,Unfertilized,P. taeda,0.372,0.58
4,c,Elevated,Unfertilized,P. taeda,0.63,0.754
4,c,Elevated,Unfertilized,P. taeda,0.574,0.388
4,c,Elevated,Unfertilized,P. taeda,0.392,NA
4,c,Elevated,Unfertilized,P. taeda,0.402,0.634
