Plot,Block,Species,CO2,N,Shade,DBH,H,CL,BAP,Biomass_stem,Biomass_branch,Biomass_foliage
1,a,P. taeda,Ambient,Fertilized,intolerant,8.5,13.05,5.15,0.109822729,16258.96853,748.14,594.4039632
1,a,P. taeda,Ambient,Fertilized,intolerant,33.3,25.32,8.55,1,570766.0555,52882.87,22277.37477
1,a,P. taeda,Ambient,Unfertilized,intolerant,28.9,23.23,8.88,0.814796447,366680.7531,38352.12,11136.36846
1,a,P. taeda,Ambient,Unfertilized,intolerant,13.4,15.7,3.3,0.202257046,46056.89952,2866.289158,1253.64421
2,a,P. taeda,Elevated,Fertilized,intolerant,28.7,25.06,9,0.370077308,406390.4571,15615.16,10925.59909
2,a,P. taeda,Elevated,Fertilized,intolerant,29.6,25.14,7.9,0.50709504,391163.6421,23150.6,11267.72466
2,a,P. taeda,Elevated,Fertilized,intolerant,30.5,25.84,10.34,0.652996866,432870.1644,23252.95,13336.27039
2,a,P. taeda,Elevated,Unfertilized,intolerant,20.6,20.6,6.65,0.232280198,147593.3509,10187.3,3657.813595
2,a,P. taeda,Elevated,Unfertilized,intolerant,30.2,26,9.3,0.574200016,453856.2886,24441.35,10664.64361
2,a,P. taeda,Elevated,Unfertilized,intolerant,30.8,24,11.15,0.769742736,468380.4218,54951.46,22308.03051
3,b,P. taeda,Elevated,Fertilized,intolerant,30.4,24.39,6.22,0.737632443,413847.0763,23681.26,11761.65885
3,b,P. taeda,Elevated,Fertilized,intolerant,24.2,23.92,6.42,0.422714734,243480.5191,10931.27,7301.400592
3,b,P. taeda,Elevated,Unfertilized,intolerant,31.4,25.77,9.3,0.72472034,458153.5885,39958.34,17568.37976
3,b,P. taeda,Elevated,Unfertilized,intolerant,14.7,19.3,4.4,0.07478159,58447.37862,2217.51,924.7890565
3,b,P. taeda,Elevated,Unfertilized,intolerant,21.9,22.48,6.78,0.236894803,150075.6195,3238.08,2679.956648
3,b,P. taeda,Elevated,Unfertilized,intolerant,19,22.78,6.18,0.114944811,136197.0521,5168.62,4038.812846
3,b,P. taeda,Elevated,Unfertilized,intolerant,21.6,22.8,6.6,0.217025949,171998.3627,13460.1,6442.03609
4,c,P. taeda,Elevated,Unfertilized,intolerant,21.9,19.51,6.85,0.389803772,172536.368,19054.45757,4539.786414
4,c,P. taeda,Elevated,Unfertilized,intolerant,31.5,22.85,9.25,0.913632808,411210.5111,60187.42,23256.85949
4,c,P. taeda,Elevated,Unfertilized,intolerant,18,18.84,5.22,0.229540796,88706.04912,3894.92,2639.946768
4,c,P. taeda,Elevated,Unfertilized,intolerant,22,20.11,5.75,0.367915979,190578.4907,6706.98,6974.671963
4,c,P. taeda,Elevated,Fertilized,intolerant,24.3,21.78,6.65,0.607302309,236329.6731,12526.93,8029.278129
4,c,P. taeda,Elevated,Fertilized,intolerant,29.6,24.64,9.64,1,362653.5394,17652.63,12333.46349
4,c,P. taeda,Elevated,Fertilized,intolerant,23.4,20.66,7.94,0.472355376,184155.5166,12068.18,6685.382426
4,c,P. taeda,Elevated,Fertilized,intolerant,21.9,21.26,5.46,0.325432213,175344.749,12265.25,4238.750358
5,b,P. taeda,Ambient,Fertilized,intolerant,18.8,22.12,10.4,0.160614717,126439.2759,3602.88,4298.151653
5,b,P. taeda,Ambient,Fertilized,intolerant,27.4,21.95,8.1,0.504163116,265213.8419,28376.35,10670.4606
5,b,P. taeda,Ambient,Fertilized,intolerant,18.85,17.72,5.7,0.160614717,96573.35522,6871.87,2871.9679
5,b,P. taeda,Ambient,Fertilized,intolerant,28.8,21.49,6.1,0.706361346,269751.6693,21897.06,5450.373287
5,b,P. taeda,Ambient,Fertilized,intolerant,33,24.73,10.37,1,428393.8586,53152.85,18769.15221
5,b,P. taeda,Ambient,Unfertilized,intolerant,27,22.37,8.54,0.666328633,276438.1117,30075.79403,8716.775444
5,b,P. taeda,Ambient,Unfertilized,intolerant,31.5,21.79,8.57,0.832307227,385659.9747,54419.2,26108.33888
5,b,P. taeda,Ambient,Unfertilized,intolerant,18.3,19.24,5.1,0.144946292,99792.27954,5882.13,2320.093827
5,b,P. taeda,Ambient,Unfertilized,intolerant,23.9,21.51,5.8,0.560726276,209515.3267,12381.35,5216.359823
6,c,P. taeda,Ambient,Fertilized,intolerant,24.6,21.42,6.1,0.799692225,255189.0813,21971.233,9679.864202
6,c,P. taeda,Ambient,Fertilized,intolerant,19.1,20.19,6.07,0.365878308,119685.9609,5705.605787,5764.939948
6,c,P. taeda,Ambient,Fertilized,intolerant,20.9,20.92,7.03,0.521984501,163990.1488,14634.35,7082.040442
