Year,Species,Mean_AU,SE_AU,Mean_EU,SE_EU,Mean_AF,SE_AF,Mean_EF,SE_EF
1996,P. taeda,3848,404,NA,NA,NA,NA,NA,NA
1997,P. taeda,4344,441,NA,NA,NA,NA,NA,NA
1998,P. taeda,4858,473,NA,NA,NA,NA,NA,NA
1999,P. taeda,5413,496,NA,NA,NA,NA,NA,NA
2000,P. taeda,5967,508,NA,NA,NA,NA,NA,NA
2001,P. taeda,6625,513,NA,NA,NA,NA,NA,NA
2002,P. taeda,6953,554,NA,NA,NA,NA,NA,NA
2003,P. taeda,7315,550,NA,NA,NA,NA,NA,NA
2004,P. taeda,7925,565,NA,NA,NA,NA,NA,NA
2005,P. taeda,8354,504,10681,1352,9029,545,11013,1019
2006,P. taeda,8986,555,11670,1458,9711,522,12033,1055
2007,P. taeda,9424,577,12214,1492,10209,564,12733,1186
2008,P. taeda,10115,627,13186,1627,11110,574,13838,1192
2009,P. taeda,10812,713,14177,1755,11733,774,14864,1288
2010,P. taeda,11573,817,15325,1854,12468,900,15559,1445
1996,Broadleaved species,325,89,398,106,269,47,346,86
1997,Broadleaved species,361,98,448,123,296,52,393,103
1998,Broadleaved species,419,113,514,144,338,58,457,122
1999,Broadleaved species,472,126,574,159,374,63,510,138
2000,Broadleaved species,532,142,641,179,415,67,576,160
2001,Broadleaved species,672,167,791,214,529,79,713,173
2002,Broadleaved species,705,180,828,222,545,79,733,191
2003,Broadleaved species,768,193,899,233,555,71,753,206
2004,Broadleaved species,812,189,929,226,594,65,776,221
2005,Broadleaved species,858,204,987,253,627,63,832,268
2006,Broadleaved species,885,201,1022,247,695,67,898,289
2007,Broadleaved species,933,206,1094,255,727,62,966,316
2008,Broadleaved species,960,214,1152,261,780,64,1016,335
2009,Broadleaved species,981,224,1196,280,826,53,1094,365
2010,Broadleaved species,1002,223,1237,280,840,40,1155,404
1996,Stand,4173,351,4432,488,4300,366,4432,393
1997,Stand,4705,387,5147,560,4835,383,5121,466
1998,Stand,5278,412,5901,616,5472,388,5919,448
1999,Stand,5885,427,6709,672,6119,392,6754,466
2000,Stand,6499,441,7525,751,6759,414,7661,502
2001,Stand,7298,424,8636,827,7659,423,8699,569
2002,Stand,7658,464,9120,898,7936,434,9136,596
2003,Stand,8083,429,9878,913,8271,477,9861,597
2004,Stand,8737,452,10652,1021,8815,494,10582,658
2005,Stand,9213,383,11668,1213,9657,520,11846,920
2006,Stand,9872,428,12693,1296,10405,498,12930,921
2007,Stand,10358,448,13308,1334,10936,539,13699,1060
2008,Stand,11075,510,14338,1468,11890,547,14853,1044
2009,Stand,11793,582,15374,1582,12559,757,15958,1109
2010,Stand,12575,677,16563,1702,13307,887,16714,1297
